S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Page
2821.,IRM Energy,236.35,23.63,970.45,0.63,12.66,5.41,259.44,12.06,8.26,113
2822.,Sellwin Traders,9.17,30.25,215.36,0.00,2.72,227.71,14.68,-6.02,8.25,113
2823.,Vamshi Rubber,43.00,19.05,18.10,0.00,0.34,54.55,23.16,3.90,8.24,113
2824.,Panabyte Tech,31.51,84.32,21.08,0.00,0.36,620.00,2.87,34.11,8.23,113
2825.,Deep Polymers,37.80,18.43,91.40,0.00,1.75,-6.91,25.75,3.21,8.22,113
2826.,IKIO Tech,149.39,65.26,1154.50,0.00,10.89,-22.79,164.22,31.33,8.22,114
2827.,Maruti Infra.,10.67,35.72,100.03,0.00,0.24,125.81,12.74,43.47,8.21,114
2828.,Vishvprabha Ven.,61.16,,19.07,0.00,0.18,-53.85,4.90,12.64,8.21,114
2829.,HB Estate Devel.,64.40,13.38,147.86,0.00,1.27,159.18,26.73,-2.48,8.20,114
2830.,Crystal Business,1.91,,19.15,0.00,-0.70,-198.59,1.58,-59.59,8.20,114
2831.,Ladderup Finance,58.28,45.43,61.79,0.00,0.33,-115.38,4.11,-20.66,8.19,114
2832.,Accuracy Shippi.,4.97,27.21,74.83,0.00,0.60,36.36,190.50,-24.75,8.19,114
2833.,Rossell Techsys,620.05,111.20,2337.37,0.03,5.67,5770.00,125.17,144.95,8.18,114
2834.,Kotak Mah. Bank,422.80,22.37,420495.44,0.12,4924.29,4.75,17506.80,5.25,8.17,114
2835.,Altius Telecom,150.00,51.16,45711.00,5.74,280.00,33.08,6080.20,51.15,8.17,114
2836.,Zim Laboratories,70.23,57.02,375.73,0.00,-0.42,-117.65,88.71,-3.72,8.16,114
2837.,Walchand People,115.45,8.60,33.53,0.87,1.36,518.18,9.24,12.27,8.15,114
2838.,Kanoria Energy,16.77,,143.03,0.30,0.02,-94.87,38.99,-26.09,8.15,114
2839.,Regency Fincorp,30.60,22.28,225.07,0.00,3.32,315.00,7.80,94.51,8.15,114
2840.,Jana Small Finan,373.30,9.56,3929.87,0.00,74.99,-22.47,1304.78,11.90,8.15,114
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,114
2841.,Clinitech Lab,39.15,19.02,8.94,0.00,0.30,36.36,5.08,24.51,8.15,114
2842.,Danube Industrie,5.07,32.03,46.13,0.00,0.33,73.68,23.51,30.61,8.14,114
2843.,Vibhor Steel,116.92,17.84,221.71,0.00,1.42,59.55,281.76,19.34,8.14,114
2844.,Hubtown,202.28,22.50,2874.41,0.00,31.67,44.50,208.51,110.74,8.13,114
2845.,Max Financial,1599.00,337.90,55183.85,0.00,5.87,-96.33,9791.59,-26.77,8.13,114
2846.,Yash Chemex,61.55,35.82,63.05,0.00,0.91,13.11,38.65,57.95,8.13,114
2847.,Crimson Metal,50.11,184.92,22.19,0.00,0.05,25.00,2.17,-22.50,8.11,114
2848.,JSW Steel,1170.00,36.60,286118.11,0.24,2410.00,218.40,45991.00,11.15,8.11,114
2849.,Rajnandini Metal,4.06,,112.25,0.00,0.03,102.46,71.16,-74.38,8.11,114
2850.,Benchmark Comp.,27.00,8.46,18.53,0.00,1.52,47.57,28.63,50.84,8.11,114
2851.,B.L.Kashyap,46.50,,1048.30,0.00,-8.62,-191.90,355.13,32.87,8.08,115
2852.,IFCI,56.35,39.87,15182.46,0.00,317.40,71.83,732.28,18.66,8.08,115
2853.,E2E Networks,2030.50,,4086.79,0.00,-5.70,-149.18,70.02,68.32,8.08,115
2854.,Presstonic Engi.,47.00,6.45,36.23,0.00,0.33,107.45,20.17,554.87,8.08,115
2855.,Kabsons Industri,13.29,29.38,23.21,0.00,-0.03,-104.29,10.59,6.65,8.07,115
2856.,Flexituff Vent.,10.87,,35.68,0.00,-18.03,-51.90,5.69,-93.31,8.07,115
2857.,Orchid Pharma,688.40,66.81,3491.50,0.00,-5.72,-121.00,193.52,-13.10,8.07,115
2858.,Bhageria Indust.,160.60,13.75,700.93,0.93,11.47,80.00,204.39,58.31,8.07,115
2859.,Retina Paints,67.90,90.57,104.16,0.00,0.20,-42.86,8.00,37.22,8.06,115
2860.,Bombay Cycle,1660.00,73.78,66.40,0.30,-0.10,-108.20,2.70,6.72,8.05,115
2861.,Inter State Oil,30.07,11.73,15.01,0.00,0.31,29.17,24.82,11.15,8.04,115
2862.,Austin Engg Co,106.30,8.46,36.99,0.00,1.14,15.15,29.65,12.82,8.04,115
2863.,Emmbi Industries,94.93,22.66,182.65,0.32,2.97,71.68,122.16,19.15,8.03,115
2864.,Mangalam Drugs,44.43,,70.32,0.00,-9.78,-798.57,58.49,-34.07,8.03,115
2865.,A G Universal,70.90,38.88,38.88,0.00,0.49,-42.35,32.08,7.08,8.03,115
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,115
2866.,Haryana Leather,57.00,13.39,27.98,1.75,0.18,-30.61,13.09,21.09,8.02,115
2867.,Marvel Decor,58.05,27.68,102.98,0.00,2.06,-8.30,36.97,19.64,8.02,115
2868.,Last Mile Enter.,6.66,12.01,236.94,0.30,3.07,-74.03,785.64,2378.36,8.02,115
2869.,Covance Softsol,146.92,22.47,325.36,0.00,7.68,109.84,33.17,65.11,8.01,115
2870.,Gayatri Projects,12.10,1.45,226.51,0.00,-3.38,-168.98,73.13,-28.69,7.99,115
2871.,Landmark Cars,349.45,69.67,1448.99,0.14,1.51,200.00,1210.92,33.47,7.99,115
2872.,Smruthi Organic,120.65,29.57,138.10,1.24,2.06,164.10,31.60,7.52,7.98,115
2873.,IZMO,630.10,29.90,942.22,0.00,12.56,-60.70,60.11,2.66,7.98,115
2874.,Vardhman Hold.,3154.20,4.12,1006.19,0.16,46.12,-6.60,2.75,-62.84,7.98,115
2875.,Shubhlaxmi Jewel,34.55,14.04,36.64,0.00,2.63,182.80,22.38,-6.67,7.98,115
2876.,Teesta Agro Ind.,111.10,8.05,62.33,0.00,1.22,71.83,66.59,25.03,7.97,116
2877.,Speciality Rest.,104.14,22.62,502.33,0.96,4.76,88.89,109.76,12.07,7.97,116
2878.,Bloom Industries,31.11,39.73,20.66,0.00,0.25,78.57,8.58,36.41,7.96,116
2879.,Shoppers Stop,348.35,,3835.76,0.00,16.12,-41.41,1415.82,2.64,7.96,116
2880.,Nitiraj Engineer,177.95,23.51,182.42,0.84,1.63,8050.00,16.39,30.49,7.96,116
2881.,Hind.Tin Works,134.35,12.70,139.72,0.60,1.73,-58.11,116.92,6.59,7.95,116
2882.,Prime Focus,217.52,140.22,16879.35,0.00,4.07,-89.22,1060.94,18.27,7.95,116
2883.,Auri Grow India,0.51,11.71,75.29,0.00,-0.29,-141.43,8.00,-90.36,7.95,116
2884.,Diligent Media,3.33,9.90,39.20,0.00,-0.67,-114.44,2.69,-5.61,7.94,116
2885.,DCW,46.13,27.23,1361.55,0.22,13.81,1204.80,539.21,10.33,7.93,116
2886.,Accel,13.22,33.83,76.11,2.27,0.79,2.56,43.65,11.13,7.93,116
2887.,XPRO India,993.60,172.36,2332.02,0.20,4.97,-50.00,119.91,-10.50,7.93,116
2888.,Amanaya Ventures,20.20,39.74,7.55,0.00,0.17,-37.04,14.73,-24.23,7.93,116
2889.,Hilton Met.Forg.,28.35,14.32,98.36,0.00,1.74,180.65,87.64,100.32,7.92,116
2890.,Southern Infocon,22.76,95.25,11.43,0.00,0.17,750.00,4.22,2010.00,7.90,116
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,116
2891.,Tracxn Technolo.,33.33,,355.56,0.00,-5.56,-19.31,21.25,-0.65,7.90,116
2892.,Ramdevbaba Sol.,90.45,15.25,206.78,0.00,6.24,-17.87,385.60,-4.01,7.90,116
2893.,Oriental Aromat.,256.75,88.17,864.06,0.19,0.74,-94.99,271.33,14.60,7.89,116
2894.,Axel Polymers,45.30,25.38,38.58,0.00,0.01,101.23,10.72,-22.71,7.88,116
2895.,Jay Bharat Maru.,83.00,13.92,898.48,0.84,18.03,503.01,582.65,4.90,7.87,116
2896.,ICICI Bank,1343.40,18.14,960861.06,0.82,13481.13,-2.68,48363.84,2.82,7.87,116
2897.,Mohite Industrie,2.54,19.94,51.05,0.00,3.04,13.01,51.77,9.01,7.87,116
2898.,On Door Concepts,120.55,7.89,68.09,0.00,3.92,27.69,136.41,12.42,7.86,116
2899.,Pasupati Spinng.,34.75,27.98,32.46,0.00,0.17,112.50,24.69,1.69,7.85,116
2900.,Godrej Industrie,974.70,34.09,32828.37,0.00,492.95,-15.70,5032.14,4.73,7.83,116
2901.,Wonderla Holiday,502.95,38.84,3189.85,0.40,-1.75,-111.89,80.15,18.95,7.82,117
2902.,IRB Infra.Devl.,39.72,27.40,23986.91,0.76,140.82,41.00,1751.02,10.42,7.82,117
2903.,Shilpa Medicare,267.00,33.76,5222.03,0.19,44.07,145.65,369.97,7.61,7.82,117
2904.,Leading Lea. Fin,3.45,20.86,194.43,0.00,1.70,839.13,11.09,73.01,7.82,117
2905.,Bandhan Bank,149.33,23.88,24056.64,1.00,205.59,-51.79,5431.24,-0.87,7.82,117
2906.,Mysore Petro,104.05,8.29,68.50,1.92,0.10,-97.93,5.03,-45.09,7.82,117
2907.,Rama Phosphates,150.63,10.14,533.03,0.33,14.03,283.33,238.00,32.50,7.81,117
2908.,East WestFreight,2.90,,37.00,0.00,-1.65,-486.21,55.17,-19.12,7.80,117
2909.,Le Merite Export,459.90,103.81,1151.30,0.00,8.55,209.78,212.61,-18.99,7.80,117
2910.,Airo Lam,89.60,16.31,134.42,0.00,2.69,195.73,62.53,22.15,7.78,117
2911.,Star Paper Mills,147.30,5.96,229.94,2.38,13.02,-10.33,104.37,-5.90,7.76,117
2912.,Banaras Beads,106.49,39.04,70.67,2.11,0.04,-97.12,5.05,-56.28,7.76,117
2913.,Informed Techn.,85.22,169.24,35.54,0.00,0.94,-24.19,0.38,-42.42,7.76,117
2914.,Vascon Engineers,42.26,11.79,966.35,0.00,11.43,43.59,225.63,12.93,7.76,117
2915.,Sundaram Brake,593.90,,233.67,0.25,-3.12,-312.24,78.03,-6.27,7.75,117
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,117
2916.,Uflex,452.05,10.29,3264.32,0.66,26.85,583.99,3832.03,-0.04,7.75,117
2917.,PTC Industries,17478.00,417.00,26203.98,0.00,18.14,4.79,124.63,72.21,7.74,117
2918.,Suryalata Spg.,303.45,5.68,129.48,0.66,5.30,213.61,126.99,-5.13,7.74,117
2919.,Indo Farm Equip.,156.90,27.02,753.93,0.00,4.98,38.33,103.89,20.68,7.74,117
2920.,Igarashi Motors,369.90,76.24,1164.26,0.68,4.54,-41.72,219.14,1.42,7.73,117
2921.,BSL,135.04,25.18,138.99,0.59,1.72,-31.75,184.34,3.53,7.73,117
2922.,Piramal Finance.,1793.90,35.03,40663.71,0.00,401.01,937.79,2917.68,3.30,7.73,117
2923.,Goblin India,10.77,20.11,14.88,0.00,1.54,-41.22,24.92,-0.12,7.73,117
2924.,Bhatia Colour,316.50,92.46,447.51,0.00,3.15,54.15,72.30,21.53,7.73,117
2925.,Rite Zone,20.85,19.17,8.82,0.00,0.18,-70.97,11.75,-17.60,7.73,117
2926.,Cons. Finvest,167.16,8.13,541.00,0.68,15.71,-66.69,18.25,9.15,7.72,118
2927.,Annvrridhhi Ven,10.00,90.40,22.60,0.00,0.07,-58.82,20.92,25.12,7.72,118
2928.,Aarnav Fashions,25.42,11.23,107.37,0.00,2.37,10.23,133.80,27.93,7.72,118
2929.,United Drilling,186.08,24.94,377.80,0.97,5.72,39.51,55.60,7.17,7.71,118
2930.,Econo Trade Indi,6.56,5.06,12.25,0.00,0.67,4.69,1.46,1.39,7.71,118
2931.,MMTC,63.83,136.19,9574.50,0.00,170.81,-2.38,1.10,-29.49,7.70,118
2932.,Sona Machinery,39.10,25.80,53.66,0.00,0.90,-66.29,43.41,8.99,7.70,118
2933.,Saumya Cons,161.30,,111.41,0.00,-3.59,-126.69,3.84,-83.08,7.69,118
2934.,Solid Stone Co,27.31,22.95,14.69,0.00,0.12,-60.00,6.30,-13.34,7.68,118
2935.,Rana Sugars,10.81,4.45,166.01,0.00,-14.13,4.40,345.34,-10.43,7.67,118
2936.,DCB Bank,182.90,8.37,5884.71,0.74,184.74,21.99,1860.88,11.36,7.67,118
2937.,BCPL Railway,71.42,16.57,119.44,1.40,3.10,67.71,58.26,117.88,7.67,118
2938.,Bandaram Pharma,26.78,218.77,48.13,0.37,0.06,-91.04,13.72,92.97,7.67,118
2939.,Prestige Estates,1388.80,78.14,59819.81,0.13,457.40,123.88,2431.70,5.52,7.66,118
2940.,UPL,702.55,25.00,59299.78,0.85,612.00,209.91,12019.00,8.38,7.66,118
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,118
2941.,Pruden. Sugar,19.99,12.67,64.47,0.00,1.49,-31.65,9.04,-52.72,7.66,118
2942.,Omega Interactiv,512.40,28.13,132.78,0.00,1.88,548.28,19.45,97150.00,7.65,118
2943.,Delta Corp,64.07,17.54,1715.61,1.95,14.28,-77.61,160.28,-14.23,7.65,118
2944.,Amco India,75.63,27.50,31.08,0.00,0.26,-35.00,34.07,18.30,7.64,118
2945.,Galada Finance,33.20,34.34,9.96,0.00,0.07,75.00,0.62,67.57,7.64,118
2946.,Vindhya Telelink,1202.90,5.34,1425.44,1.33,59.12,142.69,959.83,0.75,7.64,118
2947.,Remi Edelstahl,129.55,62.15,154.75,0.00,1.03,-18.25,33.45,4.69,7.63,118
2948.,Shah Metacorp,4.90,42.61,433.75,0.00,0.79,-64.37,66.77,37.56,7.63,118
2949.,R R Fin. Cons.,101.60,16.48,112.37,0.00,2.81,507.32,8.52,46.90,7.63,118
2950.,Grovy India,45.87,17.48,61.17,0.22,0.38,1800.00,14.96,1247.75,7.63,118
2951.,Indo Cotspin,26.44,1888.00,18.88,0.00,0.01,-80.00,10.14,-1.17,7.62,119
2952.,Gabriel Pet,199.80,41.63,149.45,0.00,2.24,966.67,54.55,895.44,7.62,119
2953.,Incap,74.89,43.17,38.42,1.34,0.22,-51.11,6.23,-12.13,7.61,119
2954.,Cartrade Tech,2446.90,62.59,11706.69,0.00,64.07,113.99,193.41,25.42,7.59,119
2955.,Mafia Trends,6.40,3.74,2.84,0.00,0.44,388.89,10.06,281.06,7.59,119
2956.,Avro India,132.89,44.90,176.89,0.00,1.22,46.99,21.00,16.34,7.58,119
2957.,Sandesh,1010.00,14.97,764.57,0.50,4.29,-88.70,77.40,10.65,7.57,119
2958.,Indl.& Prud.Inv.,5247.35,14.33,879.37,2.10,16.71,-8.29,1.77,-53.79,7.57,119
2959.,Natl.Fertilizer,78.60,36.60,3855.96,1.98,-35.81,-396.69,6763.07,54.04,7.57,119
2960.,Sanmit Infra,7.09,65.90,112.03,0.00,-1.17,-178.57,7.18,-82.55,7.56,119
2961.,Jetking Infotrai,149.95,19.90,94.52,0.00,3.41,625.53,7.16,19.93,7.56,119
2962.,Sagardeep Alloys,25.39,20.62,43.31,0.00,0.40,21.21,33.58,-4.44,7.56,119
2963.,Aelea Commoditi.,125.45,41.96,255.53,0.00,8.70,55.91,173.69,97.96,7.56,119
2964.,Tilak Ventures,1.02,16.92,136.38,0.00,3.39,62.98,6.31,-31.34,7.55,119
2965.,HFCL,61.10,335.92,9351.98,0.16,71.92,-8.16,1043.34,-4.60,7.55,119
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,119
2966.,Generic Engineer,43.85,20.52,249.88,0.00,2.15,0.00,61.59,19.87,7.55,119
2967.,XT Global Infot.,26.90,36.14,359.28,0.19,3.44,1.11,94.41,93.70,7.55,119
2968.,Daulat Securitie,29.89,,14.95,0.00,-0.18,-136.73,-0.14,-122.58,7.54,119
2969.,IBL Finance,48.75,53.82,120.56,0.00,1.24,-8.15,8.16,38.78,7.53,119
2970.,Beekay Steel Ind,412.25,11.44,786.25,0.24,11.63,-64.50,265.66,16.08,7.52,119
2971.,HDFC Bank,916.10,18.92,1409590.74,1.20,20691.04,12.18,87066.94,2.38,7.51,119
2972.,IndiGrid Trust,165.31,61.94,17597.69,6.60,38.63,-54.90,826.72,-1.08,7.51,119
2973.,Grasim Inds,2759.00,43.39,187755.95,0.36,1498.04,68.24,39899.58,16.59,7.50,119
2974.,Rico Auto Inds,115.65,35.75,1564.74,0.43,17.72,164.11,627.36,8.96,7.50,119
2975.,Royale Manor,34.35,27.03,68.12,0.00,0.04,-90.00,4.41,-11.80,7.49,119
2976.,Ambica Agarbat.,23.98,80.76,41.19,0.00,0.93,0.00,34.63,3.34,7.49,120
2977.,R C F,128.23,22.84,7074.32,1.03,105.35,33.42,5292.58,23.38,7.49,120
2978.,T N Merc. Bank,552.35,7.20,8746.54,1.99,317.51,4.73,1413.39,5.68,7.49,120
2979.,Ambassador Intra,47.99,167.17,10.03,0.00,0.11,-47.62,0.48,,7.48,120
2980.,Mangalam Organic,446.15,14.20,382.10,0.00,3.21,174.42,158.10,14.30,7.48,120
2981.,Fervent Synerg.,18.35,25.07,91.75,0.00,0.43,975.00,0.68,74.36,7.47,120
2982.,Smiths & Founder,4.94,40.97,50.39,0.00,0.23,-36.11,3.82,5.23,7.47,120
2983.,Rodium Realty,158.70,5.30,51.54,0.00,2.20,238.46,14.38,5.27,7.47,120
2984.,Ranjeet Mechatr.,7.00,14.29,28.00,0.00,0.39,162.90,14.88,380.00,7.47,120
2985.,Niva Bupa Health,77.00,153.58,14223.43,0.00,-35.27,-370.89,1574.03,19.13,7.45,120
2986.,Baba Arts,7.12,30.64,37.38,0.00,0.35,6.06,3.53,411.59,7.44,120
2987.,Imagica. Enter.,51.05,122.46,2888.72,0.00,-38.91,-492.16,41.81,4.60,7.44,120
2988.,ARC Finance,0.55,,47.93,0.00,0.12,-96.45,20.05,62.09,7.44,120
2989.,Honasa Consumer,271.80,71.07,8843.55,0.00,38.35,357.04,526.69,26.16,7.44,120
2990.,Sh. Ajit Pulp,230.95,10.94,205.44,0.00,5.84,323.19,172.50,54.75,7.43,120
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,120
2991.,Capital Trade Lk,22.15,40.98,285.20,0.00,2.29,1808.33,5.34,-3.78,7.42,120
2992.,Orient Tradelink,19.24,354.43,74.43,0.00,0.39,-27.78,2.95,-3.91,7.42,120
2993.,NHPC Ltd,75.25,23.84,75588.89,2.54,1219.28,13.49,3365.26,10.27,7.42,120
2994.,Salona Cotspin,234.10,97.77,123.19,0.43,1.07,-51.14,170.77,2.84,7.41,120
2995.,Sasken Technol.,1243.60,47.94,1883.16,2.01,10.50,-19.09,255.49,89.21,7.41,120
2996.,Greenlam Industr,250.00,200.84,6378.69,0.16,31.77,-6.61,808.26,18.72,7.41,120
2997.,Vinayak Polycon,24.19,31.04,7.45,0.00,0.04,33.33,5.07,-12.13,7.40,120
2998.,Sangam Finserv,38.49,22.26,179.41,0.00,1.89,-24.10,4.76,3.03,7.40,120
2999.,SwarnsaritaJewel,37.51,6.99,78.32,0.00,6.82,834.25,261.78,13.95,7.40,120
3000.,Banswara Syntex,101.08,15.93,346.02,0.99,7.08,41.04,344.71,0.61,7.39,120
3001.,Renaiss. Global,105.51,13.49,1132.39,0.00,20.23,72.61,546.36,32.74,7.39,121
3002.,UFO Moviez,77.54,10.63,300.97,0.00,7.52,954.55,110.78,14.64,7.39,121
3003.,Karur Vysya Bank,265.50,11.16,25660.15,0.82,689.96,39.10,2794.18,12.28,7.38,121
3004.,Indokem,701.85,345.82,1957.34,0.00,0.41,,40.30,-6.91,7.38,121
3005.,Garment Mantra,1.41,12.17,62.67,0.00,2.64,288.24,65.02,87.86,7.38,121
3006.,Mega Flex Plast.,101.00,25.11,122.52,0.00,1.66,690.48,29.38,70.02,7.38,121
3007.,Pentagon Rubber,65.55,21.15,50.54,0.00,0.63,-32.26,26.74,10.04,7.38,121
3008.,Fedders Holding,48.88,35.61,984.52,0.00,14.41,-11.96,53.54,-37.09,7.37,121
3009.,Starteck Fin.,270.90,15.95,268.47,0.09,7.36,105.01,9.44,11.98,7.37,121
3010.,Yasons Chemex,12.00,30.47,23.16,0.00,1.02,-45.74,49.27,67.70,7.37,121
3011.,I O C L,156.03,9.03,220333.68,3.20,8190.86,1388.14,178628.15,2.09,7.36,121
3012.,M Lakhamsi Ind,10.55,10.48,6.29,0.95,0.04,-20.00,25.74,-31.36,7.35,121
3013.,Anupam Rasayan,1230.20,92.64,14005.62,0.06,57.15,166.29,731.40,148.81,7.33,121
3014.,Apollo Pipes,272.10,46.55,1198.55,0.26,1.39,-61.24,235.71,-5.88,7.32,121
3015.,Vijay Solvex,680.00,12.50,217.77,0.00,6.09,-2.09,615.32,42.49,7.32,121
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,121
3016.,Phosphate Co,147.00,10.06,53.03,0.00,-2.49,16.72,30.76,-21.45,7.32,121
3017.,Guj. Craft Inds,112.00,21.56,54.75,0.89,0.53,3.92,44.49,-6.36,7.31,121
3018.,Sreeleathers,213.41,21.43,494.15,0.00,8.61,33.49,74.71,19.23,7.31,121
3019.,PTL Enterprises,37.88,12.19,501.44,4.62,14.78,6.25,16.09,0.00,7.29,121
3020.,Suryaamba Spinni,124.15,11.38,36.40,0.81,0.79,196.34,57.64,7.16,7.29,121
3021.,Eldeco Housing,854.50,56.89,840.23,1.05,2.63,-41.69,33.05,-0.99,7.29,121
3022.,Suryoday Small,132.74,20.61,1410.89,0.00,36.56,9.79,543.87,11.48,7.28,121
3023.,IFL Enterprises,0.49,6.70,61.01,0.00,0.83,419.23,8.52,196.86,7.27,121
3024.,Duroply Indust.,151.35,23.36,164.19,0.00,2.41,382.00,104.49,15.06,7.23,121
3025.,Yasho Industries,1246.00,118.20,1502.31,0.04,4.86,11.47,183.30,9.71,7.23,121
3026.,Calcom Vision,101.05,22.90,141.32,0.00,2.09,20.11,50.06,46.89,7.21,122
3027.,Samkrg Pistons,123.35,11.96,121.13,0.41,2.87,45.69,71.44,15.19,7.19,122
3028.,East Buildtech,62.39,,11.71,0.00,-0.45,-228.57,0.04,-92.31,7.18,122
3029.,Agribio Spirits,232.45,71.27,253.00,0.11,1.08,-10.74,16.86,232.54,7.17,122
3030.,Utkarsh Small F.,13.57,,2414.81,0.00,-348.46,-778.07,839.97,-14.89,7.17,122
3031.,Polyplex Corpn,826.70,35.42,2595.21,1.63,33.50,-71.87,1794.04,3.17,7.16,122
3032.,Stratmont Indus.,46.79,103.36,133.34,0.00,0.37,-15.91,42.76,19.44,7.15,122
3033.,Salguti Industri,26.00,,19.60,0.00,0.05,,28.48,38.86,7.15,122
3034.,Uniroyal Ind,19.00,,15.71,0.00,-0.07,-250.00,29.28,2.16,7.15,122
3035.,Mahamaya Steel,825.00,142.72,1355.84,0.00,1.88,1944.44,188.57,21.86,7.15,122
3036.,Rachana Infra.,33.80,14.07,62.88,0.00,0.67,123.33,47.62,60.17,7.15,122
3037.,Huhtamaki India,181.07,13.82,1367.48,1.10,36.77,243.64,624.73,-4.26,7.14,122
3038.,Shri Krishna,33.79,16.96,94.61,0.00,0.68,353.33,4.31,8.29,7.14,122
3039.,Sahyadri Industr,240.80,14.24,263.59,0.42,2.71,40.41,124.96,17.94,7.12,122
3040.,Kabra Extrusion,210.44,195.22,735.97,1.19,0.33,-97.32,134.60,5.16,7.12,122
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,122
3041.,Ambani Orgochem,101.95,123.94,78.08,0.00,0.19,110.67,110.56,34.90,7.12,122
3042.,Rapid Invest.,85.88,31.83,18.46,0.00,0.13,225.00,0.40,21.21,7.11,122
3043.,Just Dial,644.65,9.59,5482.40,0.00,117.93,2.81,305.69,6.39,7.11,122
3044.,Kesar Petroprod.,20.38,11.78,197.02,0.00,5.92,102.74,50.20,3.04,7.11,122
3045.,Axis Bank,1258.00,15.03,390647.77,0.08,5566.56,-25.31,32309.77,2.24,7.11,122
3046.,Excel Industries,905.90,15.48,1138.78,1.52,21.19,-40.61,270.23,0.49,7.11,122
3047.,CSB Bank,488.40,13.64,8473.05,0.00,160.33,15.84,1109.16,28.25,7.11,122
3048.,Worth Investment,3.87,75.12,143.47,0.00,0.59,0.00,1.23,-6.11,7.10,122
3049.,Uma Converter,19.30,15.35,39.13,0.00,2.13,-6.58,119.71,4.53,7.09,122
3050.,Birla Corpn.,1029.00,15.03,7924.33,0.97,90.48,459.19,2206.53,13.01,7.08,122
3051.,Westlife Food,491.20,,7659.58,0.15,27.71,-4077.78,641.85,3.86,7.08,123
3052.,Amrapali Inds.,14.20,36.32,73.00,0.00,0.37,270.00,10698.34,33.21,7.08,123
3053.,Sancode Tech.,91.95,33.70,37.41,0.00,-0.11,122.00,7.46,29.51,7.07,123
3054.,Diligent Indust.,2.56,23.75,61.04,0.00,1.18,-9.23,45.73,50.92,7.06,123
3055.,Spenta Intl.,83.51,36.63,23.08,1.20,0.04,-95.06,10.98,-19.09,7.06,123
3056.,RHI Magnesita,418.75,54.96,8647.25,0.60,38.35,-16.47,1035.36,19.41,7.06,123
3057.,S.A.L Steel,40.89,,445.77,0.00,3.73,6116.67,65.73,-46.79,7.05,123
3058.,Indo Euro Indch.,12.49,30.57,11.31,0.00,0.09,800.00,2.81,208.79,7.05,123
3059.,Confidence Fut.,33.77,9.14,84.49,0.74,0.19,-57.14,24.98,-62.16,7.05,123
3060.,H. S. India,11.68,13.85,18.97,0.00,0.11,-26.67,5.81,-5.99,7.04,123
3061.,Indian CardCloth,221.23,8.45,131.44,0.00,5.41,-35.05,10.73,-4.45,7.04,123
3062.,Seshasayee Paper,221.60,17.14,1397.59,1.13,22.41,-21.29,346.32,-13.09,7.04,123
3063.,Capital Small,254.35,8.55,1155.23,1.57,34.89,4.65,256.46,14.70,7.04,123
3064.,Mega Corp.,2.26,69.54,45.20,0.00,0.19,375.00,1.80,20.81,7.03,123
3065.,Federal Bank,278.55,16.75,68595.93,0.43,1125.39,15.88,7360.47,1.32,7.03,123
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,123
3066.,Binayaka Tex Pr,2319.45,53.12,164.68,0.00,0.95,171.43,68.26,15.50,7.02,123
